timestamp,x,y
1737953368.7051148,297,175
1737953368.7540538,380,181
1737953368.7550423,297,176
1737953368.8030849,297,176
1737953368.804106,379,180
1737953368.8590934,379,180
1737953368.8590934,297,175
1737953368.9093194,297,176
1737953368.9093194,379,180
1737953368.9920926,297,176
1737953368.9920926,379,180
1737953368.9920926,296,176
1737953369.058875,297,176
1737953369.058875,379,180
1737953369.1228342,379,180
1737953369.1294434,297,176
1737953369.1931922,297,177
1737953369.1941857,380,180
1737953369.2589684,379,180
1737953369.2599764,297,176
1737953369.3228621,380,180
1737953369.3228621,298,176
1737953369.3228621,297,176
1737953369.393483,380,180
1737953369.393483,298,176
1737953369.393483,380,180
1737953369.445838,380,181
1737953369.4468815,298,177
1737953369.499093,379,181
1737953369.5001209,293,178
1737953369.5001209,293,178
1737953369.5679424,379,181
1737953369.5689523,293,178
1737953369.6439235,379,181
1737953369.6439235,293,178
1737953369.7144935,378,181
1737953369.7144935,292,178
1737953369.7766273,378,181
1737953369.7776465,292,178
1737953369.839114,378,183
1737953369.839114,293,180
1737953369.9152174,284,182
1737953369.9162152,269,131
1737953369.9162152,376,186
1737953370.0552468,377,182
1737953370.0558884,292,180
1737953370.1291938,379,181
1737953370.1291938,293,177
1737953370.199457,381,180
1737953370.199457,299,177
1737953370.2704432,381,179
1737953370.2712846,299,176
1737953370.3448443,381,179
1737953370.3458562,299,176
1737953370.4074564,381,180
1737953370.4074564,299,175
1737953370.408674,381,179
1737953370.4679763,381,179
1737953370.4688923,299,175
1737953370.5179868,381,179
1737953370.5179868,299,175
1737953370.5593376,380,178
1737953370.5593376,299,175
1737953370.627403,298,175
1737953370.6289704,380,179
1737953370.629934,295,175
1737953370.6999264,294,176
1737953370.6999264,380,179
1737953370.7538846,298,175
1737953370.7542224,380,179
1737953370.823747,294,176
1737953370.823747,380,179
1737953370.894082,297,174
1737953370.894082,379,178
1737953370.9645622,297,174
1737953370.9645622,379,179
1737953371.0392418,379,179
1737953371.0392418,297,174
1737953371.1042757,299,173
1737953371.1092873,381,178
1737953371.190058,299,174
1737953371.190058,381,178
1737953371.190058,298,174
1737953371.2495098,300,173
1737953371.2495098,382,178
1737953371.3092434,382,178
1737953371.3092434,300,174
1737953371.3092434,381,178
1737953371.3894722,381,178
1737953371.3894722,299,174
1737953371.461007,384,180
1737953371.461007,299,174
1737953371.461007,299,174
1737953371.5407355,381,178
1737953371.5407355,299,173
1737953371.6038032,299,174
1737953371.6038032,381,178
1737953371.6831174,381,178
